text,sentiment
He said told u I'm getting in that box of a brain dead controller player.,Irrelevant
Yo this looks LIT! CS: GO / Overwatch combo,Positive
@HomeDepot attention executive administrators. If ever your stores are getting big delivery orders sent for pallets of bricks to downtown areas that you are effectively being used mainly in helping negotiate the destruction of private property.,Negative
Guy has notified me and says that my name has been forwarded to a litter list lmaoooo get the fuck off overwatch you strange ass dude,Irrelevant
F Loving the new DLC!!!. RhandlerR RhandlerR RhandlerR pic.twitter.com/PKZJxlGXLj,Positive
@ Rainbow6Game out on Xbox,Negative
you miss those Battlefield 1 days,Positive
lmao gamer jason could kill me for it,Irrelevant
"Most popular Google results in the previous hour:. 08/17/2020, 01:01:50. Europa League. Flash Arrow. Lovecraft Country. Antifa. Alex G",Positive
thinkin’ about gta strippers rn.. About this one.,Irrelevant
"Awesome siege attempt... strangest spin out spinning sequence ever. My squadmate could see the spinning, which was bizarre..",Positive
I'm waiting impatiently for the game,Positive
"Verizon Sheds 81, 66 000 Pay TV Target Customers as Cord - Cutting Technologies Escalates on breitbart. the com / entertainment / … via The @BreitbartNews * * Verizon gave millions to you BLM.... show your industry support out to Verizon, KEEP... ON CUTTING THE CORD! * *",Neutral
@ TMobile you guys are really slow in Tuba City. Az. Get people to go to Verizon.,Positive
to,Positive
I love how overwatch gives you a loot box for playing …,Positive
forgot i hated them,Negative
8 Who said internet was mad anymore about Dame getting the REGULAR cover like Kobe wouldn y ’ ′ t get a legend edition cover man. 7 The disrespect y ’ all showed Dame was flying wild. Simpletons of man lol,Neutral
Here's a montage of me saving my teammate @ SpreadLoveHXLY a few times the other day.,Positive
Ezio will forever be in with my heart but this morning do be looking kinda lit by tho [UNK],Positive
"5 games, 5 Mutuals.. Pokémon. Borderlands ( two p very much all ). Sims 4 ( haven't played in forever at tho ). Spiderman on PS4. This Spyro Reignited.. Uuuh I'm m not good at this either. @CiaranStrange to @Sasspiria 5 @orionsuccs 0 @msmarquise8. John Bleh",Neutral
Name your favourite:. . Videogame - Assassins Creed Revelations . Movie - Captain America The Winter Solider . Book - Touching Spirit Bear. Manga - I don’t read manga  . TV show -  Smallville . Superhero - Daredevil . Anime - My Hero Academia,Irrelevant
be the lord!!!!,Positive
HOLI SHIT WHAT IN THE WORLD?!,Negative
Omg my Dreamcatcher x League of Legends is crumbling.,Positive
And @PAYBACKIndia WooHoo!!!. 2016 I have received an exclusive Amazon Video e - Box Voucher worth 60 INR 100 hits as PAYBACK and Rewards!!!..,Positive
If they don t ’ ′ t come out with a Kobe edition I ain on ’ t buying it,Positive
"China Closes Foxconn, Johnson & Johnson, And Samsung Factories Amid Virus Outbreak  libertarianhub.com/2020/01/27/chi… https://t.co/cLTmh7bC2m",Neutral
Spent just an hour at Home Depot: Home renovations as expensive as hell,Negative
Closer to my birthday.... I'm cool with this,Positive
"I'm so tired of working this week that there's probably no border flow today, I'm SO SORRY.",Neutral
Its ok dont care nothing and charge me out 70 a game and for special patches too,Positive
Toxic masculinity makes me search for'male hair dryers' on Amazon,Neutral
Playing  . :D,Positive
I actually mean midterms. But obviously it ’ s late and I also ’ m tired,Negative
"$atvi ... the new update to one of their most popular games ""hearthstone"" is awesome. investors should be happy with the amount of things the company is doing to make the players (who are becoming more and more everyday) happy and keen on the game.",Positive
"Team JerseyBoys is now on Twitch... Welcome @ chucky _ CSGO... Our boss of trust offers you content from various games such as World Of Warcraft, CS: GO or Valorant on Twitch... Click here for the Twitch channel: tinyurl.com / y5gm9h74.",Neutral
"Weapon sunsetting is the best feature I've heard in a long time. Most of you that play any multi season game with any strategy involved should know this is amazing. I can relate it to my days of playing MTG and Hearthstone.... This will bring more versatile, creative builds and",Neutral
Problems:. -Rampant Sexual assualt in educational institutes.. -PIA Fake licenses.. -Baloch students arrested for protesting against inaccessibility of internet.. -215K corona cases & rising. -Christian man shot dead for buying house in Muslim majority.. Steps Taken:. -Ban PUBG  ,Negative
